Project,Class,Pattern
eclipse.platform.debug,XMLMemento,Memento
eclipse.platform.debug,ControlsMementoProvider,Memento
prevayler,MementoTransaction,Memento
prevayler,Memento,Memento
prevayler,MementoManagerCommand,Memento
studio2,XMLMemento,Memento
studio2,IMemento,Memento
birt,MementoBuilder,Memento
birt,Memento,Memento
birt,MementoElement,Memento
MPS,MappingsMemento,Memento
MPS,MementoPersistence,Memento
Generic-Graph-View,ColorMemento,Memento
rap,MementoStateManager,Memento
rap,XMLMemento,Memento
rap,ConfigurationElementMemento,Memento
eclipse.jdt.core,MementoTokenizer,Memento
carrot2,SimpleXmlMemento,Memento
LimeWire-Pirate-Edition,BTMetaInfoMementoImpl,Memento
LimeWire-Pirate-Edition,BTDownloadMementoImpl,Memento
LimeWire-Pirate-Edition,TorrentFileSystemMementoImpl,Memento
LimeWire-Pirate-Edition,BTDiskManagerMementoImpl,Memento
LimeWire-Pirate-Edition,MagnetDownloadMementoImpl,Memento
LimeWire-Pirate-Edition,LibTorrentBTDownloadMementoImpl,Memento
LimeWire-Pirate-Edition,InNetworkDownloadMementoImpl,Memento
LimeWire-Pirate-Edition,InNetworkDownloadMemento,Memento
LimeWire-Pirate-Edition,GnutellaDownloadMementoImpl,Memento
LimeWire-Pirate-Edition,GnutellaDownloadMemento,Memento
LimeWire-Pirate-Edition,VirusDefinitionDownloadMemento,Memento
LimeWire-Pirate-Edition,DownloadMemento,Memento
wayback,MementoReplayRendererDecorator,Memento
drools,Memento,Memento
HMS,AppointmentMemento,Memento
Promasi-V2,CalculatedEquationMemento,Memento
Promasi-V2,FlowSdObjectMemento,Memento
Promasi-V2,OutputSdObjectMemento,Memento
Promasi-V2,StockSdObjectMemento,Memento
Promasi-V2,SdSystemMemento,Memento
Promasi-V2,ProjectMemento,Memento
Promasi-V2,ProjectTaskMemento,Memento
Promasi-V2,TaskBridgeMemento,Memento
Promasi-V2,GameModelMemento,Memento
Promasi-V2,MarketPlaceMemento,Memento
Promasi-V2,CompanyMemento,Memento
Promasi-V2,EmployeeMemento,Memento
Promasi-V2,EmployeeTaskMemento,Memento
Promasi-V2,DepartmentMemento,Memento
eclipse.platform.debug,RegisterGroupMementoProvider,Memento
eclipse.platform.debug,DebugElementMementoProvider,Memento
eclipse.platform.debug,StackFrameMementoProvider,Memento
eclipse.platform.debug,MementoUpdate,Memento
sherlog,SimpleLogEventFilterMemento,Memento
studio3,XMLMemento,Memento
Client,AddEntityMemento,Memento
MPS,Memento,Memento
jabylon,BasicMementoImpl,Memento
jabylon,Memento,Memento
JavaDesignPatternExercises,Memento,Memento
JavaDesignPatternExercises,IMemento,Memento
JavaDesignPatternExercises,Memento,Memento
JavaDesignPatternExercises,IMemento,Memento
geronimo,CORBAEJBMemento,Memento
biojava-legacy,ExceptionMemento,Memento
agetac-ng,AddEntityMemento,Memento
eclipse.jdt.ui,Mementos,Memento
eclipse.platform.ui,IMementoAware,Memento
eclipse.platform.ui,IMemento,Memento
eclipse.platform.ui,ConfigurationElementMemento,Memento
eclipse.platform.ui,XMLMemento,Memento
rt.equinox.p2,Memento,Memento
Pydev,DialogMemento,Memento
dawn-third,AnnotationMemento,Memento
dawn-third,AxisMemento,Memento
dawn-third,TraceMemento,Memento
dawn-third,XYGraphMemento,Memento
nuxeo-tycho-osgi,Memento,Memento
nuxeo-tycho-osgi,XMLMemento,Memento
rap,MementoStateManager,Memento
rap,IMemento,Memento
rap,ConfigurationElementMemento,Memento
rap,XMLMemento,Memento
MPS,MappingsMemento,Memento
biomixer,Memento,Memento
biomixer,Memento,Memento
birt,Memento,Memento
birt,MementoBuilder,Memento
java-design-patterns,StarMemento,Memento
prevayler,Memento,Memento
drools,Memento,Memento
refactoring_guru,Memento,Memento
ChenSun,Statement,None
ChenSun,AssertionFailedException,None
ChenSun,BestResponseTimeBalanceStrategy,None
ChenSun,Blob,None
ChenSun,BlobFromLocator,None
ChenSun,CachedResultSetMetaData,None
ChenSun,CallableStatement,None
ChenSun,CharsetMapping,None
ChenSun,Clob,None
ChenSun,CommunicationsException,None
ChenSun,CompressedInputStream,None
ChenSun,ConnectionFeatureNotAvailableException,None
ChenSun,ConnectionGroup,None
ChenSun,ConnectionGroupManager,None
ChenSun,ConnectionImpl,None
ChenSun,ConnectionProperties,None
ChenSun,ConnectionPropertiesImpl,None
ChenSun,ConnectionPropertiesTransform,None
ChenSun,DatabaseMetaData,None
ChenSun,DatabaseMetaDataUsingInfoSchema,None
ChenSun,DocsConnectionPropsHelper,None
ChenSun,EscapeProcessor,None
ChenSun,ExportControlled,None
ChenSun,Field,None
ChenSun,ExtendedMysqlExceptionSorter,None
ChenSun,MysqlValidConnectionChecker,None
ChenSun,IterateBlock,None
ChenSun,JDBC4MysqlPooledConnection,None
ChenSun,JDBC4MysqlXAConnection,None
ChenSun,JDBC4SuspendableXAConnection,None
ChenSun,MysqlConnectionPoolDataSource,None
ChenSun,MysqlDataSource,None
ChenSun,MysqlXAConnection,None
ChenSun,MysqlXADataSource,None
ChenSun,SocialNetworkDBAThread,None
ChenSun,SocialNetworkNavigation,None
jbehave-core,AuthenticationSteps,None
jbehave-core,DbUnitSteps,None
jbehave-core,OrganizationSteps,None
jbehave-core,ThreadsSteps,None
jbehave-core,ThreadsStories,None
jbehave-core,CalendarConverter,None
jbehave-core,TraderConverter,None
jbehave-core,FailureCorrelationStories,None
jbehave-core,Stock,None
jbehave-core,Trader,None
jbehave-core,TraderPersister,None
jbehave-core,TradingService,None
jbehave-core,AbstractSteps,None
jbehave-core,BeforeAfterSteps,None
jbehave-core,CalendarSteps,None
jbehave-core,CompositeNestedSteps,None
jbehave-core,CompositeSteps,None
jbehave-core,FailingBeforeAfterSteps,None
jbehave-core,MetaParametrisationSteps,None
jbehave-core,NamedParametersSteps,None
jbehave-core,ParameterDelimitersSteps,None
jbehave-core,ParametrisationByDelimitedNameSteps,None
jbehave-core,ParametrisedSteps,None
jbehave-core,PendingSteps,None
jbehave-core,PriorityMatchingSteps,None
jbehave-core,SandpitSteps,None
jbehave-core,SearchSteps,None
jbehave-core,TraderSteps,None
jbehave-core,FailingAfterStories,None
jbehave-core,FailingBeforeStories,None
jbehave-core,ParameterDelimiters,None
jbehave-core,ParametrisationByDelimitedName,None
jbehave-core,SkipBeforeAndAfterScenarioStepsIfGivenStory,None
jbehave-core,SkipScenariosAfterFailure,None
jbehave-core,AnnotatedEmbedderUsingGuice,None
jbehave-core,AnnotatedEmbedderUsingGuiceAndSteps,None
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,AnnotatedEmbedderUsingPico,None
jbehave-core,AnnotatedEmbedderUsingPicoAndSteps,None
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,ParentAnnotatedEmbedderUsingPico,None
jbehave-core,AnnotatedEmbedderUsingSpring,None
jbehave-core,AnnotatedEmbedderUsingSpringAndSteps,None
jbehave-core,AnnotatedEmbedderUsingSpringNamespace,None
jbehave-core,SilentSuccessFilter,None
jbehave-core,StackTraceFormatter,None
jbehave-core,StepdocReporter,None
3taps-Java-Client,GeocoderRequest,None
3taps-Java-Client,GeocoderResponse,None
3taps-Java-Client,CreateResponse,None
3taps-Java-Client,DeleteResponse,None
3taps-Java-Client,UpdateResponse,None
3taps-Java-Client,BestMatchResponse,None
3taps-Java-Client,SearchRequest,None
3taps-Java-Client,SearchResponse,None
3taps-Java-Client,SummaryRequest,None
3taps-Java-Client,SummaryResponse,None
3taps-Java-Client,Annotation,None
3taps-Java-Client,AnnotationOption,None
3taps-Java-Client,Category,None
3taps-Java-Client,Posting,None
3taps-Java-Client,PostingHistory,None
3taps-Java-Client,Source,None
3taps-Java-Client,Utils,None
jbehave-core,GameObserver,Observer
jbehave-core,GameFrame,Observer
jbehave-core,GameObserver,Observer
pcgen-svn,ShowMessageConsoleObserver,Observer
pcgen-svn,PersistenceObserver,Observer
pcgen-svn,ShowMessageGuiObserver,Observer
Dual-Battery-Widget,BillingObserver,Observer
cxf,ColocMessageObserver,Observer
cxf,MessageReplayObserver,Observer
cxf,ClientMessageObserver,Observer
cxf,MultipleEndpointObserver,Observer
cxf,ChainInitiationObserver,Observer
cxf,AbstractFaultChainInitiatorObserver,Observer
cxf,ClientOutFaultObserver,Observer
Cream,LoggingObserver,Observer
brightroom,AppHistoryObserver,Observer
CS230-Software-Project,Observable,Observer
CS230-Software-Project,Observer,Observer
harmony-classlib,Observable,Observer
frostwire-desktop,TreeMouseObserver,Observer
frostwire-desktop,MouseObserver,Observer
frostwire-desktop,HeaderMouseObserver,Observer
milton,ImageTableObserver,Observer
jackrabbit,AccessControlObserver,Observer
swing-mvc-demo,MainModelObserver,Observer
arquillian-extension-persistence,EventObserver,Observer
jge3d,Observer,Observer
stratosphere,ExecutionObserver,Observer
AndroidBillingLibrary,MockBillingObserver,Observer
TurtlePlayer,PreferencesObserver,Observer
softwaremill-common,TransactionExceptionObserver,Observer
ju4pa,ConcurrentModificationObserver,Observer
com.happyprog.tdgotchi,RefactoringObserver,Observer
com.happyprog.tdgotchi,TamagotchiObserver,Observer
jackrabbit,AccessControlObserver,Observer
swing-mvc-demo,GroupModelObserver,Observer
swing-mvc-demo,MainModelObserver,Observer
swing-mvc-demo,UserModelObserver,Observer
smsc-server,MessageObserver,Observer
smsc-server,StatisticsObserver,Observer
BMach,IObserver,Observer
BMach,ISubject,Observer
OneSwarm,DHTRouterObserver,Observer
fop,ElementListObserver,Observer
fop,LoggingElementListObserver,Observer
UK-Ejemplos,Observer,Observer
UK-Ejemplos,ObserverBuilder,Observer
UK-Ejemplos,EventObserver,Observer
arquillian_deprecated,ObserverImpl,Observer
Android-Simple-Social-Sharing,FacebookEventObserver,Observer
Android-Simple-Social-Sharing,TwitterEventObserver,Observer
platform_frameworks_base,SyncStatusObserver,Observer
ant,TimeoutObserver,Observer
platform,Observers,Observer
platform,RestAPIObserver,Observer
platform,HiveAxis2ConfigObserver,Observer
platform,ActivityMediationStatisticsObserver,Observer
platform,BAMMediationStatisticsObserver,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,ConfigurationContextObserverImpl,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,CassandraAxis2ConfigurationContextObserver,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,CSGAgentObserver,Observer
platform,CSGAgentObserverImpl,Observer
platform,CSGServiceObserver,Observer
platform,ActivityMediationStatisticsObserver,Observer
platform,MediationStatsAxis2ConfigurationContextObserver,Observer
platform,BAMMediationStatisticsObserver,Observer
platform,ServiceStatisticsAxis2ConfigurationContextObserver,Observer
platform,DSAxis2ConfigurationContextObserver,Observer
platform,DeploymentSyncAxis2ConfigurationContextObserver,Observer
platform,EventAxis2ConfigurationContextObserver,Observer
platform,STSObserver,Observer
platform,JAXWSAxis2ConfigurationObserver,Observer
platform,JMXObserver,Observer
platform,MediationStatisticsObserver,Observer
platform,PersistingStatisticsObserver,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,TaskAxis2ConfigurationContextObserver,Observer
platform,ProxyServiceParameterObserver,Observer
platform,RSSManagerAxis2ConfigContextObserver,Observer
platform,SecurityAxis2ConfigurationContextObserver,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,StatisticsAxis2ConfigurationContextObserver,Observer
platform,ThrottlingAxis2ConfigurationContextObserver,Observer
platform,TransactionManagerAxis2ConfigurationContextObserver,Observer
platform,DiscoveryAxis2ConfigurationContextObserver,Observer
platform,TargetServiceObserver,Observer
platform,DiscoveryProxyObserver,Observer
platform,AbstractSynapseObserver,Observer
platform,SynapseObserver,Observer
platform,MessageStoreObserver,Observer
JavaDesignPatternExercises,IObserver,Observer
JavaDesignPatternExercises,ISubject,Observer
vogella,ElementObserver,Observer
vogella,TotalObserver,Observer
java-design-patterns-master,WeatherObserver,Observer
vogella,MyObserver,Observer
cdt,AutoconfPrototype,Prototype
cdt,FunctionPrototypeSummary,Prototype
OneSwarm,ExternalTextResourcePrototype,Prototype
OneSwarm,ImageResourcePrototype,Prototype
OneSwarm,ResourcePrototype,Prototype
SmartBIPrototype,SmartBIPrototype,Prototype
protogrid,GridPrototype,Prototype
protogrid,BaseDataPrototype,Prototype
kahlua2,Prototype,Prototype
onebusaway-application-modules,ResourcePrototypeImpl,Prototype
s4,PrototypeRequest,Prototype
s4,PrototypeWrapper,Prototype
s4,PrototypeRequest,Prototype
Android-RTMP,FFMPEGPrototype,Prototype
AxonFramework,SpringPrototypeAggregateFactory,Prototype
spring-social-twitter,PlacePrototype,Prototype
modapi,Prototype,Prototype
helma,Prototype,Prototype
gansenbang,PrototypeWrapper,Prototype
Alice,ElementPrototype,Prototype
Alice,QuestionPrototype,Prototype
Alice,ResponsePrototype,Prototype
Alice,CallToUserDefinedQuestionPrototype,Prototype
Alice,CallToUserDefinedResponsePrototype,Prototype
SWE12-Drone,PrototypeBrickAdapter,Prototype
OneSwarm,ExternalTextResourcePrototype,Prototype
OneSwarm,ImageResourcePrototype,Prototype
OneSwarm,ResourcePrototype,Prototype
movsim,VehiclePrototype,Prototype
thredds,Nc4prototypes,Prototype
xdi2,Prototype,Prototype
AxonFramework,SpringPrototypeAggregateFactory,Prototype
spring-social-twitter,PlacePrototype,Prototype
IDV,PrototypeManager,Prototype
modapi,Prototype,Prototype
helma,Prototype,Prototype
liferay-portal,LayoutSetPrototypeWrapper,Prototype
liferay-portal,LayoutPrototypeWrapper,Prototype
liferay-portal,LayoutPrototypeLocalService,Prototype
liferay-portal,LayoutPrototypeLocalServiceWrapper,Prototype
liferay-portal,LayoutPrototypePermission,Prototype
liferay-portal,LayoutPrototypeBaseImpl,Prototype
liferay-portal,LayoutPrototypeImpl,Prototype
liferay-portal,LayoutPrototype,Prototype
protoj,Prototype,Prototype
Catroid,PrototypeBrickAdapter,Prototype
crunch,JobPrototype,Prototype
sablecc,MParamPrototype,Prototype
sablecc,MMacroCreatorPrototype,Prototype
sablecc,MParamRefPrototype,Prototype
wolips,EOPrototypeListContentProvider,Prototype
wolips,EOPrototypeListLabelProvider,Prototype
osate2-core,ComponentPrototype,Prototype
osate2-core,ComponentPrototypeActual,Prototype
osate2-core,ComponentPrototypeBinding,Prototype
osate2-core,FeatureGroupPrototype,Prototype
osate2-core,FeaturePrototype,Prototype
osate2-core,AbstractPrototypeImpl,Prototype
osate2-core,BusPrototypeImpl,Prototype
osate2-core,ComponentPrototypeActualImpl,Prototype
osate2-core,ComponentPrototypeImpl,Prototype
osate2-core,ComponentPrototypeImpl,Prototype
osate2-core,DataPrototypeImpl,Prototype
osate2-core,DevicePrototypeImpl,Prototype
osate2-core,FeatureGroupPrototypeActualImpl,Prototype
osate2-core,FeatureGroupPrototypeBindingImpl,Prototype
osate2-core,FeatureGroupPrototypeImpl,Prototype
osate2-core,FeaturePrototypeActualImpl,Prototype
osate2-core,FeaturePrototypeImpl,Prototype
osate2-core,FeaturePrototypeReferenceImpl,Prototype
osate2-core,MemoryPrototypeImpl,Prototype
osate2-core,ProcessorPrototypeImpl,Prototype
osate2-core,ProcessPrototypeImpl,Prototype
osate2-core,PrototypeBindingImpl,Prototype
osate2-core,PrototypeImpl,Prototype
osate2-core,SubprogramGroupPrototypeImpl,Prototype
osate2-core,SubprogramPrototypeImpl,Prototype
osate2-core,SystemPrototypeImpl,Prototype
osate2-core,ThreadGroupPrototypeImpl,Prototype
osate2-core,ThreadPrototypeImpl,Prototype
osate2-core,VirtualBusPrototypeImpl,Prototype
osate2-core,VirtualProcessorPrototypeImpl,Prototype
osate2-core,Prototype,Prototype
osate2-core,PrototypeBinding,Prototype
lcmc,PrototypeFactory,Prototype
social_1,PlacePrototype,Prototype
Android-RTMP,FFMPEGPrototype,Prototype
wonder,ERPrototypes,Prototype
TapIt-Android-SDK-Source,AlertAdProxyPrototype,Prototype
TapIt-Android-SDK-Source,BannerViewProxyPrototype,Prototype
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,Prototype
TapIt-Android-SDK-Source,TapitandroidModulePrototype,Prototype
computercraft-spout,Prototype,Prototype
JagTrack,Prototype,Prototype
java-design-patterns,Prototype,Prototype
computercraft-spout,Prototype,Prototype
suite,Prototype,Prototype
protoj,Prototype,Prototype
java-design-patterns-master,Prototype,Prototype
ChenSun,FailoverConnectionProxy,Proxy
ChenSun,LoadBalancingConnectionProxy,Proxy
accent,ControlledConnectionProxy,Proxy
cdt,PathEntryStoreProxy,Proxy
cdt,AbstractCExtensionProxy,Proxy
cdt,CDataProxy,Proxy
cdt,CDataProxyContainer,Proxy
cdt,CfgProxyCache,Proxy
cdt,PDOMProxy,Proxy
cdt,IncludeReferenceProxy,Proxy
cdt,CEditorTextHoverProxy,Proxy
cdt,ModulesViewModelProxy,Proxy
cdt,SignalsViewModelProxy,Proxy
cdt,BreakpointVMModelProxyStrategy,Proxy
cdt,ExpressionVMProviderModelProxyStrategy,Proxy
cdt,DefaultVMModelProxyStrategy,Proxy
playorm,IterProxy,Proxy
playorm,CursorProxy,Proxy
playorm,ListProxy,Proxy
playorm,NoSqlProxy,Proxy
playorm,NoSqlProxyImpl,Proxy
playorm,IterLogProxy,Proxy
playorm,IterableProxy,Proxy
cdo,CDOElementProxy,Proxy
cdo,CDOElementProxyImpl,Proxy
cdo,ObjyProxy,Proxy
harmony-classlib,Proxy,Proxy
harmony-classlib,DataProxy,Proxy
harmony-classlib,AWTEventListenerProxy,Proxy
harmony-classlib,DragSourceEventProxy,Proxy
harmony-classlib,BeanContextChildComponentProxy,Proxy
harmony-classlib,BeanContextContainerProxy,Proxy
harmony-classlib,BeanContextProxy,Proxy
harmony-classlib,PropertyChangeListenerProxy,Proxy
harmony-classlib,VetoableChangeListenerProxy,Proxy
harmony-classlib,MockBeanContextProxy,Proxy
harmony-classlib,MockBeanContextProxyS,Proxy
harmony-classlib,Proxy,Proxy
harmony-classlib,Proxy,Proxy
harmony-classlib,ProxySelector,Proxy
harmony-classlib,ProxySelectorImpl,Proxy
harmony-classlib,EventListenerProxy,Proxy
harmony-classlib,ActionProxy,Proxy
frostwire-desktop,NetworkAdminHTTPProxyImpl,Proxy
frostwire-desktop,ProxyDefintion,Proxy
frostwire-desktop,FrmProxy,Proxy
frostwire-desktop,ProxyBlock,Proxy
frostwire-desktop,ProxyController,Proxy
frostwire-desktop,ProxyData,Proxy
frostwire-desktop,ElementalReverseProxy,Proxy
frostwire-desktop,DnDCellRendererProxy,Proxy
frostwire-desktop,MRJ23EventProxy,Proxy
frostwire-desktop,MRJ4EventProxy,Proxy
frostwire-desktop,MRJEventProxy,Proxy
javassist,ProxyObject,Proxy
javassist,Proxy,Proxy
javassist,Proxy,Proxy
geotoolkit-pending,GeometryProxy,Proxy
santuario-java,ElementProxy,Proxy
santuario-java,EncryptionElementProxy,Proxy
santuario-java,SignatureElementProxy,Proxy
james,MimeMessageCopyOnWriteProxy,Proxy
wayback,ARCRecordingProxy,Proxy
wayback,ARCUnwrappingProxy,Proxy
platform,AbstractProxy,Proxy
platform,PaypalNVPProxy,Proxy
platform,PaypalSOAPProxy,Proxy
platform,SalesforceProxyImpl,Proxy
platform,SalesforceProxy,Proxy
platform,AbstractPDPProxy,Proxy
platform,PDPProxy,Proxy
OpenSIG,ComercialProxy,Proxy
OpenSIG,ExportacaoProxy,Proxy
OpenSIG,ImportacaoProxy,Proxy
DimSim,ObjectProxy,Proxy
DimSim,DebugProxyHandler,Proxy
DimSim,EventsJsonProxy,Proxy
DimSim,PopoutPanelProxy,Proxy
DimSim,PopoutWindowProxy,Proxy
BuildCraft,BuilderProxy,Proxy
BuildCraft,BuilderProxyClient,Proxy
BuildCraft,BuildersProxy,Proxy
BuildCraft,CoreProxy,Proxy
BuildCraft,CoreProxyClient,Proxy
BuildCraft,EnergyProxy,Proxy
BuildCraft,EnergyProxyClient,Proxy
BuildCraft,FactoryProxy,Proxy
BuildCraft,FactoryProxyClient,Proxy
BuildCraft,SiliconProxy,Proxy
BuildCraft,SiliconProxyClient,Proxy
BuildCraft,TransportProxy,Proxy
ecf,SmartProxy,Proxy
ecf,Proxy,Proxy
TapIt-Android-SDK-Source,AlertAdProxyPrototype,Proxy
TapIt-Android-SDK-Source,BannerViewProxyPrototype,Proxy
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,Proxy
TapIt-Android-SDK-Source,AlertAdProxy,Proxy
Alitheia-Core,ProxyServlet,Proxy
BeeQueue,ProxyFactory,Proxy
java-design-patterns,WizardTowerProxy,Proxy
jbehave-core,WeldStepsFactory,Singleton
sshj,SingletonRandomFactory,Singleton
playorm,FactorySingleton,Singleton
jackrabbit,SingletonRepositoryFactory,Singleton
cruisecontrol,ServerNameSingleton,Singleton
java-game-server,ExecutionHandlerSingleton,Singleton
iBatisWorkShop,NoXmlSingletonConnectionManager,Singleton
iBatisWorkShop,SingletonConnectionManager,Singleton
sshj,SingletonRandomFactory,Singleton
jboss-aejb,SingletonAEjbHandler,Singleton
playorm,FactorySingleton,Singleton
kodejava,Singleton,Singleton
kodejava,SingletonDemo,Singleton
kodejava,Singleton,Singleton
intellij-community,CachedSingletonsRegistry,Singleton
intellij-community,NewInstanceOfSingletonInspection,Singleton
intellij-community,SingletonInspection,Singleton
intellij-community,Singleton,Singleton
intellij-community,SingletonMap,Singleton
AllBinary-Platform,UploadMediaSingleton,Singleton
AllBinary-Platform,LicenseInterfaceSingleton,Singleton
AllBinary-Platform,InputAutomationModuleConfigurationsSingletonFactory,Singleton
AllBinary-Platform,ImageComparisonResultCacheSingleton,Singleton
AllBinary-Platform,ConsolidatedMotionRectanglesResultsCacheSingleton,Singleton
AllBinary-Platform,AllMotionRectanglesResultsCacheSingleton,Singleton
AllBinary-Platform,ProcessPaintableSingletonFactory,Singleton
AllBinary-Platform,NoGameNotificationHudSingleton,Singleton
AllBinary-Platform,GameConfigurationSingleton,Singleton
AllBinary-Platform,KeySingletonFactory,Singleton
AllBinary-Platform,StoreAdminUserEmailEventHandlerSingletons,Singleton
AllBinary-Platform,AdminUserEmailEventHandlerSingletons,Singleton
AllBinary-Platform,UserEmailEventHandlerSingletons,Singleton
AllBinary-Platform,CurrentlyPressedTouchButtonSingleton,Singleton
AllBinary-Platform,TestingInputSingleton,Singleton
AllBinary-Platform,MakeCountedPartsSingletonArrayFactory,Singleton
AllBinary-Platform,HighScoreNamePersistanceSingleton,Singleton
AllBinary-Platform,GameConfigurationPersistanceSingleton,Singleton
AllBinary-Platform,GamePersistanceSingleton,Singleton
AllBinary-Platform,NullHighScoresSingletonFactory,Singleton
AllBinary-Platform,RemoteErrorHighScoresSingletonFactory,Singleton
AllBinary-Platform,PrimitiveLongSingleton,Singleton
AllBinary-Platform,SmallIntegerSingletonFactory,Singleton
AllBinary-Platform,DisplayInfoSingleton,Singleton
AllBinary-Platform,ConstrainedMotionRectanglesResultsCacheSingleton,Singleton
AllBinary-Platform,BufferedImagePoolSingleton,Singleton
android-rackspacecloud,ApacheHCHttpCommandExecutorServiceModule,Singleton
android-rackspacecloud,NioTransformingHttpCommandExecutorServiceModule,Singleton
android-rackspacecloud,ConnectionPoolCommandExecutorServiceModule,Singleton
cucumber-jvm,SingletonFactory,Singleton
small-team-km-android-client,ActivitiesStackSingleton,Singleton
small-team-km-android-client,ImageCacheSoftRefSingleton,Singleton
jackrabbit,SingletonRepositoryFactory,Singleton
zen-project,SingletonSolrAware,Singleton
cytoscape-plugins,ObjectFactorySingleton,Singleton
alfresco,TransactionAwareSingleton,Singleton
XobotOS,Singleton,Singleton
cayenne,SingletonFaultFactory,Singleton
CIDE,ScreenSingleton,Singleton
CIDE,ScreenSingleton,Singleton
hypergraphdb,CacheActionQueueSingleton,Singleton
lyo.rio,ServiceProviderSingleton,Singleton
lyo.rio,ServiceProviderSingleton,Singleton
emergency-service-drools-app,MessageServerSingleton,Singleton
platform_frameworks_base,Singleton,Singleton
LimeWire-Pirate-Edition,AbstractLazySingletonProvider,Singleton
geotoolkit-pending,SingletonIterator,Singleton
activemq,SingletonBrokerFacade,Singleton
hivedb,SingletonHiveSessionFactoryBuilder,Singleton
api,IsolatedStaticSingletonProvider,Singleton
api,TCCLSingletonProvider,Singleton
api,Singleton,Singleton
api,SingletonProvider,Singleton
cogroo4,CogrooSingleton,Singleton
openejb,ThreadSingletonService,Singleton
openejb,ThreadSingletonServiceImpl,Singleton
openejb,SingletonContainerBuilder,Singleton
openejb,SingletonContainer,Singleton
openejb,SingletonContext,Singleton
openejb,SingletonEjbHomeHandler,Singleton
openejb,SingletonEjbObjectHandler,Singleton
openejb,SingletonInstanceManager,Singleton
openejb,SingletonCalculatorClient,Singleton
openejb,BasicSingletonBean,Singleton
directory-server,AvlTreeSingleton,Singleton
clusterbench,LocalSingletonEjbServlet,Singleton
robo-remote,EmSingleton,Singleton
robo-remote,SoloSingleton,Singleton
console_1,AggregatedConsoleSingleton,Singleton
console_1,GinjectorSingleton,Singleton
console_1,CoreUISingleton,Singleton
pizzaapp,ConfigurationSingleton,Singleton
pizzaapp,ConfigurationSingleton,Singleton
chute-android-components,HeartsSingleton,Singleton
hbase,CompatibilitySingletonFactory,Singleton
Akka-JavaEE6-Integracia,SumSingleton,Singleton
abdera,Singleton,Singleton
platform_frameworks_base,Singleton,Singleton
api,Singleton,Singleton
com.idega.core,Singleton,Singleton
vogella,MyEnumSingleton,Singleton
ccw,ClojureVisitor,Visitor
cdt,ICElementVisitor,Visitor
cdt,IPathSettingsContainerVisitor,Visitor
cdt,ICPPASTVisitor,Visitor
cdt,ASTGenericVisitor,Visitor
cdt,IndexerASTVisitor,Visitor
cdt,CVisitor,Visitor
cdt,ASTCommenterVisitor,Visitor
cdt,ChangeGeneratorWriterVisitor,Visitor
cdt,CodeFormatterVisitor,Visitor
cdt,CPPASTAllVisitor,Visitor
cdt,CStructureCreatorVisitor,Visitor
cdt,ReferenceVisitor,Visitor
cdt,IModelVisitor,Visitor
cdk,Visitor,Visitor
cdk,SimpleVisitor,Visitor
cdk,TemplateVisitor,Visitor
cdk,ELVisitor,Visitor
cdk,RendererClassVisitor,Visitor
cdk,TagHandlerGeneratorVisitor,Visitor
cdk,TaglibGeneratorVisitor,Visitor
cdk,EmptyAnnotationValueVisitor,Visitor
cdo,CDOFeatureDeltaVisitor,Visitor
cdo,CDOFeatureDeltaVisitorImpl,Visitor
cdo,IOVisitor,Visitor
pellet,EntailmentQueryVisitor,Visitor
pellet,PelletVisitor,Visitor
pellet,ATermBaseVisitor,Visitor
pellet,ATermVisitor,Visitor
pellet,AtomObjectVisitor,Visitor
pellet,RuleAtomVisitor,Visitor
pellet,NumberToLiteralVisitor,Visitor
pellet,NumericVisitor,Visitor
pellet,FunctionApplicationVisitor,Visitor
pellet,NumericComparisonVisitor,Visitor
pellet,NumericComparisonVisitor,Visitor
pellet,NumericComparisonVisitor,Visitor
spring-migration-analyzer,EjbDetectingClassVisitor,Visitor
spring-migration-analyzer,ApiUsageDetectingAsmVisitor,Visitor
spring-migration-analyzer,DelegatingClassVisitor,Visitor
spring-migration-analyzer,DelegatingMethodVisitor,Visitor
spring-migration-analyzer,DelegatingAnnotationVisitor,Visitor
spring-migration-analyzer,DelegatingFieldVisitor,Visitor
spring-migration-analyzer,StubResultGatheringAnnotationVisitor,Visitor
spring-migration-analyzer,StubResultGatheringClassVisitor,Visitor
spring-migration-analyzer,StubResultGatheringClassVisitorFactory,Visitor
spring-migration-analyzer,StubResultGatheringFieldVisitor,Visitor
spring-migration-analyzer,StubResultGatheringMethodVisitor,Visitor
pellet,DefaultAtomObjectVisitor,Visitor
pellet,DefaultRuleAtomVisitor,Visitor
cxf,ModuleVisitor,Visitor
cxf,ExceptionVisitor,Visitor
cxf,OperationVisitor,Visitor
